ticket_id,created_at,resolved_at,priority,category,channel,agent_id,region,status,resolution_hours,sla_target_hours,sla_breached,csat_score,num_replies,first_response_hours
TKT00071,2024-10-19 13:56:36,2024-10-19 17:18:12,Critical,Technical,Social Media,AGT008,West,Resolved,3.36,2,True,1,11,1.61
TKT00072,2024-01-19 04:35:47,2024-01-20 01:26:11,Medium,Technical,Social Media,AGT016,North,Resolved,20.84,24,False,5,8,0.42
TKT00073,2024-02-08 17:05:37,2024-02-11 10:13:25,Low,Product Info,Social Media,AGT005,North,Closed,65.13,72,False,4,11,55.98
TKT00074,2024-10-04 01:18:25,2024-10-04 09:35:13,Medium,Account,Phone,AGT016,South,Closed,8.28,24,False,4,7,8.1
TKT00075,2024-08-15 06:03:25,2024-08-15 11:55:01,High,Product Info,Email,AGT004,East,Resolved,5.86,8,False,1,7,0.94
TKT00076,2024-03-28 06:22:26,2024-03-29 04:39:50,Medium,Returns,Chat,AGT006,West,Escalated,22.29,24,False,4,3,5.25
TKT00077,2024-12-07 00:20:31,2024-12-09 13:21:43,Medium,Shipping,Chat,AGT009,North,Resolved,61.02,24,True,2,6,23.7
TKT00078,2024-08-21 10:59:59,2024-08-23 14:26:23,Low,Shipping,Chat,AGT009,West,Resolved,51.44,72,False,4,10,15.29
TKT00079,2024-05-20 00:17:41,2024-05-21 05:38:05,Medium,Billing,Email,AGT013,Central,Closed,29.34,24,True,3,5,18.64
TKT00080,2024-11-21 06:55:20,2024-11-24 01:45:44,Low,Account,Chat,AGT008,North,Escalated,66.84,72,False,5,11,2.73
TKT00081,2024-07-05 04:47:04,2024-07-05 09:43:28,High,Billing,Chat,AGT019,South,Resolved,4.94,8,False,5,9,4.34
TKT00082,2024-03-25 09:21:21,2024-03-29 19:52:33,Medium,Returns,Phone,AGT009,East,Closed,106.52,24,True,5,8,23.11
TKT00083,2024-10-12 13:19:02,2024-10-15 23:24:26,Low,Technical,Email,AGT013,West,Resolved,82.09,72,True,2,12,48.44
TKT00084,2024-02-25 08:30:47,2024-02-26 01:55:59,Medium,Product Info,Phone,AGT012,Central,Resolved,17.42,24,False,5,2,11.11
TKT00085,2024-11-28 14:51:56,2024-11-28 21:52:32,Medium,Product Info,Social Media,AGT010,North,Resolved,7.01,24,False,1,9,1.04
TKT00086,2024-08-02 21:23:03,2024-08-03 22:48:15,Medium,Product Info,Email,AGT018,West,Resolved,25.42,24,True,2,5,0.88
TKT00087,2024-04-30 13:12:17,2024-05-01 05:50:41,Medium,Shipping,Phone,AGT015,North,Resolved,16.64,24,False,4,4,16.11
TKT00088,2024-12-05 07:43:21,2024-12-05 09:40:21,Critical,Shipping,Phone,AGT003,South,Escalated,1.95,2,False,1,10,0.48
TKT00089,2024-10-27 07:51:45,2024-10-27 19:32:33,High,Returns,Email,AGT007,East,Closed,11.68,8,True,3,3,7.9
TKT00090,2024-12-04 00:56:19,2024-12-04 23:33:31,Medium,Technical,Phone,AGT004,North,Resolved,22.62,24,False,5,1,2.95
TKT00091,2024-08-31 16:19:16,2024-09-03 20:15:04,Medium,Billing,Chat,AGT003,Central,Resolved,75.93,24,True,1,11,12.56
TKT00092,2024-09-02 14:37:20,2024-09-03 06:11:32,Medium,Billing,Social Media,AGT002,North,Closed,15.57,24,False,5,6,9.51
TKT00093,2024-11-20 21:18:44,2024-11-22 04:13:56,Low,Account,Phone,AGT020,West,Resolved,30.92,72,False,5,7,3.16
TKT00094,2024-04-20 15:39:30,2024-04-21 00:05:54,Medium,Product Info,Social Media,AGT018,West,Resolved,8.44,24,False,3,2,2.71
TKT00095,2024-03-19 17:16:03,2024-03-23 01:40:03,Low,Account,Email,AGT012,East,Closed,80.4,72,True,1,9,4.41
TKT00096,2024-12-09 04:27:01,2024-12-09 06:04:13,Critical,Returns,Social Media,AGT011,North,Escalated,1.62,2,False,5,10,0.57
TKT00097,2024-03-20 23:54:39,2024-03-23 11:21:03,Low,Returns,Phone,AGT007,North,Closed,59.44,72,False,4,10,13.52
TKT00098,2024-11-10 23:23:59,2024-11-11 19:39:35,Medium,Returns,Phone,AGT020,North,Resolved,20.26,24,False,4,12,15.47
TKT00099,2024-04-02 05:12:56,2024-04-02 09:14:44,High,Account,Email,AGT001,North,Closed,4.03,8,False,2,4,1.58
TKT00100,2024-06-08 11:48:37,2024-06-13 06:24:37,Medium,Technical,Email,AGT012,South,Resolved,114.6,24,True,1,10,1.29
TKT00101,2024-09-05 22:06:10,2024-09-07 07:00:10,Low,Shipping,Email,AGT014,East,Resolved,32.9,72,False,5,5,22.35
TKT00102,2024-01-24 08:01:43,2024-01-25 11:16:43,Medium,Returns,Phone,AGT010,South,Closed,27.25,24,True,1,5,7.02
TKT00103,2024-03-30 04:42:12,2024-04-01 08:53:00,Low,Shipping,Phone,AGT014,North,Resolved,52.18,72,False,4,12,2.3
TKT00104,2024-10-21 15:37:47,2024-10-23 14:44:59,Low,Billing,Email,AGT011,West,Resolved,47.12,72,False,4,6,8.18
TKT00105,2024-02-15 15:54:00,2024-02-15 20:51:00,Critical,Shipping,Email,AGT012,West,Closed,4.95,2,True,3,12,0.75
TKT00106,2024-09-18 23:03:18,2024-09-22 14:44:06,Low,Technical,Phone,AGT003,East,Closed,87.68,72,True,4,11,58.7
TKT00107,2024-04-11 06:19:00,2024-04-15 11:35:48,Low,Technical,Chat,AGT009,West,Resolved,101.28,72,True,3,10,54.74
TKT00108,2024-06-14 22:50:10,2024-06-15 15:53:10,Medium,Returns,Phone,AGT020,East,Resolved,17.05,24,False,4,6,8.7
TKT00109,2024-01-30 13:25:31,2024-02-05 08:11:43,Low,Shipping,Email,AGT002,Central,Resolved,138.77,72,True,4,7,33.37
TKT00110,2024-08-18 20:48:48,2024-08-19 09:18:12,Medium,Product Info,Chat,AGT002,North,Resolved,12.49,24,False,4,6,12.27
TKT00111,2024-01-21 09:01:12,2024-01-26 13:00:00,Low,Product Info,Chat,AGT006,East,Resolved,123.98,72,True,2,5,27.96
TKT00112,2024-01-27 22:58:11,2024-01-28 00:45:35,High,Product Info,Social Media,AGT020,East,Resolved,1.79,8,False,2,11,1.73
TKT00113,2024-02-11 21:13:00,2024-02-12 20:19:36,Medium,Technical,Social Media,AGT011,South,Resolved,23.11,24,False,3,2,7.22
TKT00114,2024-12-09 19:09:55,2024-12-10 08:16:31,Medium,Account,Email,AGT005,East,Resolved,13.11,24,False,4,4,4.55
TKT00115,2024-03-11 05:38:28,2024-03-11 19:49:52,High,Technical,Email,AGT008,East,Closed,14.19,8,True,1,10,1.14
TKT00116,2024-12-20 22:44:45,2024-12-22 15:30:21,Medium,Technical,Social Media,AGT006,East,Resolved,40.76,24,True,2,4,23.27
TKT00117,2024-04-29 19:26:33,2024-04-30 08:37:21,Medium,Product Info,Chat,AGT015,East,Resolved,13.18,24,False,5,10,12.98
TKT00118,2024-09-14 19:12:15,2024-09-15 07:09:51,Medium,Account,Chat,AGT013,East,Resolved,11.96,24,False,3,8,10.47
TKT00119,2024-03-04 10:22:43,2024-03-04 21:21:31,Medium,Billing,Chat,AGT017,West,Resolved,10.98,24,False,4,4,8.99
TKT00120,2024-01-28 14:26:04,2024-01-28 18:13:28,High,Billing,Phone,AGT014,South,Resolved,3.79,8,False,5,2,3.2
TKT00121,2024-01-20 10:26:41,2024-01-22 20:58:29,Medium,Technical,Social Media,AGT005,West,Resolved,58.53,24,True,4,2,0.55
TKT00122,2024-11-07 19:12:56,2024-11-11 20:30:56,Low,Technical,Email,AGT018,North,Resolved,97.3,72,True,1,11,57.18
TKT00123,2024-11-01 19:31:01,2024-11-02 10:59:49,Medium,Billing,Chat,AGT016,East,Resolved,15.48,24,False,3,10,5.53
TKT00124,2024-09-25 13:07:45,2024-09-26 18:50:21,Medium,Technical,Email,AGT003,West,Closed,29.71,24,True,2,1,15.29
TKT00125,2024-07-01 02:27:35,2024-07-01 03:51:35,Critical,Account,Phone,AGT001,South,Resolved,1.4,2,False,4,9,0.54
TKT00126,2024-12-22 17:25:22,2024-12-23 05:10:22,Medium,Product Info,Social Media,AGT015,North,Resolved,11.75,24,False,2,1,9.32
TKT00127,2024-09-20 14:29:56,2024-09-21 09:43:44,High,Account,Chat,AGT010,East,Resolved,19.23,8,True,2,1,6.94
TKT00128,2024-08-11 14:33:51,2024-08-26 10:55:27,Low,Billing,Chat,AGT012,West,Resolved,356.36,72,True,2,6,66.56
TKT00129,2024-02-10 15:40:40,2024-02-11 12:35:16,Medium,Billing,Phone,AGT014,North,Resolved,20.91,24,False,4,11,6.25
TKT00130,2024-03-26 16:09:43,2024-03-26 20:57:07,Medium,Product Info,Phone,AGT014,Central,Escalated,4.79,24,False,5,5,3.1
TKT00131,2024-12-09 23:12:40,2024-12-10 07:01:52,High,Billing,Chat,AGT003,North,Resolved,7.82,8,False,5,10,5.33
TKT00132,2024-04-30 23:29:22,2024-05-02 00:53:22,Medium,Technical,Chat,AGT003,West,Escalated,25.4,24,True,3,6,10.71
TKT00133,2024-07-06 14:29:31,2024-07-08 15:30:43,Low,Technical,Email,AGT017,South,Resolved,49.02,72,False,5,7,44.79
TKT00134,2024-04-19 22:16:39,2024-04-21 23:20:51,Low,Account,Email,AGT015,South,Closed,49.07,72,False,4,8,8.55
TKT00135,2024-12-07 12:38:57,2024-12-09 08:26:57,Medium,Billing,Phone,AGT011,South,Closed,43.8,24,True,2,12,15.34
TKT00136,2024-03-03 07:19:02,2024-03-04 05:13:02,High,Returns,Phone,AGT008,Central,Resolved,21.9,8,True,2,8,6.45
TKT00137,2024-02-03 11:15:39,2024-02-04 17:58:51,Medium,Returns,Social Media,AGT003,West,Closed,30.72,24,True,2,2,3.1
TKT00138,2024-08-26 18:50:11,2024-08-29 10:26:11,Low,Billing,Chat,AGT015,South,Resolved,63.6,72,False,5,1,52.89
TKT00139,2024-03-23 11:44:51,2024-03-24 14:17:15,Medium,Account,Phone,AGT006,North,Resolved,26.54,24,True,4,11,22.96
TKT00140,2024-11-10 19:25:24,2024-11-12 17:09:48,Low,Product Info,Chat,AGT010,South,Resolved,45.74,72,False,4,12,41.27
TKT00141,2024-01-15 02:57:26,2024-01-19 04:58:02,Low,Returns,Chat,AGT002,Central,Resolved,98.01,72,True,3,11,2.28
TKT00142,2024-11-24 10:59:56,2024-11-24 21:50:20,High,Returns,Phone,AGT010,West,Resolved,10.84,8,True,3,1,1.35
TKT00143,2024-06-23 22:05:16,2024-06-24 15:02:16,Medium,Shipping,Phone,AGT007,West,Resolved,16.95,24,False,3,6,8.78
TKT00144,2024-03-03 09:44:18,2024-03-04 21:29:18,Low,Technical,Social Media,AGT015,Central,Resolved,35.75,72,False,2,3,29.1
TKT00145,2024-04-07 05:48:05,2024-04-07 06:26:29,Critical,Product Info,Phone,AGT011,West,Resolved,0.64,2,False,4,7,0.37
TKT00146,2024-06-29 01:46:17,2024-06-29 03:43:17,Critical,Technical,Social Media,AGT019,East,Resolved,1.95,2,False,5,2,0.9
TKT00147,2024-07-25 13:19:24,2024-07-25 16:04:24,High,Product Info,Phone,AGT012,Central,Resolved,2.75,8,False,4,7,1.44
TKT00148,2024-12-14 22:14:50,2024-12-15 04:31:02,High,Account,Phone,AGT020,Central,Escalated,6.27,8,False,4,3,1.33
TKT00149,2024-01-24 01:25:00,2024-01-25 00:57:24,Medium,Returns,Social Media,AGT002,South,Resolved,23.54,24,False,4,9,3.38
TKT00150,2024-07-20 22:26:45,2024-07-21 00:52:33,Critical,Account,Social Media,AGT006,Central,Resolved,2.43,2,True,2,1,0.8
TKT00151,2024-06-06 22:54:38,2024-06-07 15:42:38,Medium,Shipping,Chat,AGT019,North,Resolved,16.8,24,False,5,3,8.85
TKT00152,2024-12-14 08:49:05,2024-12-15 04:46:05,Medium,Shipping,Email,AGT005,West,Resolved,19.95,24,False,2,3,8.3
TKT00153,2024-08-29 02:16:03,2024-09-05 14:17:15,Low,Returns,Social Media,AGT020,Central,Resolved,180.02,72,True,3,3,33.15
TKT00154,2024-12-12 23:25:19,2024-12-15 23:30:43,Medium,Returns,Chat,AGT012,East,Resolved,72.09,24,True,2,4,22.6
TKT00155,2024-12-19 17:48:14,2024-12-19 18:30:50,Critical,Account,Phone,AGT007,East,Resolved,0.71,2,False,5,11,0.43
TKT00156,2024-03-15 10:34:30,2024-03-15 22:32:06,High,Shipping,Social Media,AGT012,East,Closed,11.96,8,True,1,4,1.7
TKT00157,2024-03-11 03:58:36,2024-03-12 05:05:12,Medium,Returns,Chat,AGT009,South,Resolved,25.11,24,True,1,7,7.99
TKT00158,2024-01-03 20:02:15,2024-01-04 14:51:27,Medium,Product Info,Social Media,AGT005,West,Resolved,18.82,24,False,4,5,6.11
TKT00159,2024-04-28 19:29:03,2024-05-02 05:02:03,Medium,Billing,Chat,AGT019,West,Closed,81.55,24,True,1,3,22.42
TKT00160,2024-04-05 10:32:21,2024-04-08 10:10:09,Low,Shipping,Email,AGT016,East,Resolved,71.63,72,False,4,11,38.96
TKT00161,2024-08-27 09:56:01,2024-08-27 22:36:49,Medium,Technical,Social Media,AGT017,East,Closed,12.68,24,False,3,1,9.37
TKT00162,2024-03-30 22:14:39,2024-03-31 19:58:27,High,Returns,Phone,AGT007,North,Resolved,21.73,8,True,4,2,1.56
TKT00163,2024-01-04 09:29:41,2024-01-06 14:47:05,Low,Account,Phone,AGT008,East,Resolved,53.29,72,False,3,10,0.71
TKT00164,2024-02-01 04:18:15,2024-02-01 13:45:15,Medium,Product Info,Phone,AGT008,North,Resolved,9.45,24,False,4,5,3.54
TKT00165,2024-03-19 16:33:54,2024-03-28 04:35:42,Low,Technical,Social Media,AGT016,Central,Closed,204.03,72,True,2,4,54.88
TKT00166,2024-09-26 16:15:56,2024-09-27 13:44:08,Medium,Returns,Email,AGT003,North,Closed,21.47,24,False,5,9,4.42
TKT00167,2024-09-23 16:05:12,2024-09-24 03:16:00,Medium,Technical,Email,AGT011,Central,Resolved,11.18,24,False,4,1,5.12
TKT00168,2024-01-30 20:20:42,2024-01-31 19:06:18,Medium,Shipping,Social Media,AGT019,East,Closed,22.76,24,False,5,12,5.04
TKT00169,2024-12-24 02:19:17,2024-12-25 17:58:17,Low,Shipping,Social Media,AGT012,North,Resolved,39.65,72,False,5,3,30.51
TKT00170,2024-07-10 13:55:32,2024-07-10 18:17:44,High,Product Info,Email,AGT014,Central,Resolved,4.37,8,False,4,6,0.61
TKT00171,2024-03-06 08:06:28,2024-03-06 13:20:52,Critical,Shipping,Social Media,AGT017,Central,Resolved,5.24,2,True,5,7,1.66
TKT00172,2024-05-21 06:51:44,2024-05-26 18:33:08,Low,Account,Social Media,AGT005,Central,Closed,131.69,72,True,1,1,17.4
TKT00173,2024-08-16 21:45:52,2024-08-21 20:17:04,Low,Returns,Email,AGT002,West,Resolved,118.52,72,True,1,9,15.72
TKT00174,2024-09-14 10:31:54,2024-09-14 17:37:18,High,Billing,Phone,AGT005,South,Resolved,7.09,8,False,4,3,6.99
TKT00175,2024-05-20 02:13:09,2024-05-21 01:06:33,Medium,Shipping,Chat,AGT010,West,Resolved,22.89,24,False,5,1,22.26
TKT00176,2024-09-25 11:36:17,2024-09-25 12:41:05,Critical,Product Info,Chat,AGT013,Central,Resolved,1.08,2,False,3,4,0.39
TKT00177,2024-10-14 15:01:30,2024-10-18 01:24:54,Medium,Shipping,Chat,AGT002,East,Resolved,82.39,24,True,1,11,1.99
TKT00178,2024-10-01 06:56:06,2024-10-01 22:04:30,Medium,Account,Email,AGT003,North,Resolved,15.14,24,False,4,10,10.99
TKT00179,2024-06-19 11:02:19,2024-06-20 08:19:07,Medium,Shipping,Email,AGT007,West,Escalated,21.28,24,False,5,12,12.9
TKT00180,2024-06-13 10:18:21,2024-06-16 16:32:09,Low,Technical,Phone,AGT018,East,Resolved,78.23,72,True,2,8,33.61
TKT00181,2024-06-12 07:23:44,2024-06-12 10:05:44,High,Product Info,Chat,AGT016,South,Resolved,2.7,8,False,4,9,2.53
TKT00182,2024-03-19 07:08:35,2024-03-20 01:25:59,Medium,Shipping,Social Media,AGT010,Central,Resolved,18.29,24,False,5,11,6.24
TKT00183,2024-08-23 06:07:30,2024-08-23 19:03:54,High,Shipping,Social Media,AGT016,South,Escalated,12.94,8,True,1,9,7.92
TKT00184,2024-02-08 01:45:58,2024-02-08 08:48:22,Critical,Returns,Chat,AGT002,North,Closed,7.04,2,True,4,1,0.52
TKT00185,2024-11-22 22:26:48,2024-11-25 13:12:24,Medium,Billing,Social Media,AGT020,North,Resolved,62.76,24,True,1,12,6.67
TKT00186,2024-12-23 15:40:36,2024-12-23 22:04:00,Critical,Billing,Email,AGT017,Central,Resolved,6.39,2,True,1,4,1.28
TKT00187,2024-07-22 02:52:37,2024-07-23 22:01:37,Low,Account,Chat,AGT009,East,Resolved,43.15,72,False,4,2,28.24
TKT00188,2024-07-26 13:48:30,2024-07-26 21:19:42,High,Billing,Chat,AGT003,North,Resolved,7.52,8,False,4,7,4.89
TKT00189,2024-01-22 08:21:55,2024-01-25 06:48:55,Low,Billing,Social Media,AGT017,East,Resolved,70.45,72,False,5,2,48.25
TKT00190,2024-12-02 01:11:52,2024-12-05 12:39:28,Low,Returns,Chat,AGT019,Central,Resolved,83.46,72,True,1,12,59.12
TKT00191,2024-10-15 08:45:19,2024-10-15 13:48:55,High,Account,Phone,AGT006,West,Closed,5.06,8,False,4,3,4.02
TKT00192,2024-06-26 01:57:18,2024-06-26 14:12:18,Medium,Billing,Social Media,AGT017,East,Resolved,12.25,24,False,2,5,9.62
TKT00193,2024-10-10 13:40:07,2024-10-12 05:04:43,Medium,Technical,Email,AGT012,Central,Resolved,39.41,24,True,3,4,17.14
